Frame Time, x, y
13.305,-1,-1
13.347,-1,-1
13.388,-1,-1
13.430,-1,-1
13.472,-1,-1
13.513,-1,-1
13.555,-1,-1
13.597,-1,-1
13.639,-1,-1
13.680,-1,-1
13.722,-1,-1
13.764,-1,-1
13.805,-1,-1
13.847,-1,-1
13.889,-1,-1
13.931,-1,-1
13.972,-1,-1
14.014,-1,-1
14.056,-1,-1
14.097,-1,-1
14.139,-1,-1
14.181,-1,-1
14.223,-1,-1
14.264,-1,-1
14.306,-1,-1
14.348,-1,-1
14.389,-1,-1
14.431,-1,-1
14.473,-1,-1
14.514,-1,-1
14.556,-1,-1
14.598,-1,-1
14.640,-1,-1
14.681,-1,-1
14.723,-1,-1
14.765,-1,-1
14.806,-1,-1
14.848,-1,-1
14.890,-1,-1
14.932,-1,-1
14.973,-1,-1
15.015,-1,-1
15.057,-1,-1
15.098,-1,-1
15.140,-1,-1
15.182,-1,-1
15.224,-1,-1
15.265,-1,-1
15.307,-1,-1
15.349,-1,-1
15.390,-1,-1
15.432,-1,-1
15.474,-1,-1
15.516,-1,-1
15.557,-1,-1
15.599,-1,-1
15.641,-1,-1
15.682,-1,-1
15.724,-1,-1
15.766,-1,-1
15.807,-1,-1
15.849,-1,-1
15.891,-1,-1
15.933,-1,-1
15.974,-1,-1
16.016,-1,-1
16.058,-1,-1
16.099,-1,-1
16.141,-1,-1
16.183,-1,-1
16.225,-1,-1
16.266,-1,-1
16.308,-1,-1
16.350,-1,-1
16.391,-1,-1
16.433,-1,-1
16.475,-1,-1
16.516,-1,-1
16.558,-1,-1
16.600,-1,-1
16.642,-1,-1
16.683,-1,-1
16.725,-1,-1
16.767,-1,-1
16.808,-1,-1
16.850,-1,-1
16.892,-1,-1
16.934,-1,-1
16.975,-1,-1
17.017,-1,-1
17.059,-1,-1
17.100,-1,-1
17.142,-1,-1
17.184,-1,-1
17.226,-1,-1
17.267,-1,-1
17.309,-1,-1
17.351,-1,-1
17.392,-1,-1
17.434,-1,-1
17.476,-1,-1
17.518,-1,-1
17.559,-1,-1
17.601,-1,-1
17.643,-1,-1
17.684,-1,-1
17.726,-1,-1
17.768,-1,-1
17.809,-1,-1
17.851,-1,-1
17.893,-1,-1
17.935,-1,-1
17.976,-1,-1
18.018,-1,-1
18.060,-1,-1
18.101,-1,-1
18.143,-1,-1
18.185,-1,-1
18.227,-1,-1
18.268,-1,-1
18.310,-1,-1
18.352,-1,-1
18.393,-1,-1
18.435,-1,-1
18.477,-1,-1
18.519,-1,-1
18.560,-1,-1
18.602,-1,-1
18.644,-1,-1
18.685,-1,-1
18.727,-1,-1
18.769,-1,-1
18.810,-1,-1
18.852,-1,-1
18.894,-1,-1
18.936,-1,-1
18.977,-1,-1
19.019,-1,-1
19.061,-1,-1
19.102,-1,-1
19.144,-1,-1
19.186,-1,-1
19.228,-1,-1
19.269,-1,-1
19.311,-1,-1
19.353,-1,-1
19.394,-1,-1
19.436,-1,-1
19.478,-1,-1
19.519,-1,-1
19.561,-1,-1
19.603,-1,-1
19.645,-1,-1
19.686,-1,-1
19.728,-1,-1
19.770,-1,-1
19.811,-1,-1
19.853,-1,-1
19.895,-1,-1
19.937,-1,-1
19.978,-1,-1
20.020,-1,-1
20.062,-1,-1
20.103,-1,-1
20.145,-1,-1
20.187,-1,-1
20.229,-1,-1
20.270,-1,-1
20.312,-1,-1
20.354,-1,-1
20.395,-1,-1
20.437,-1,-1
20.479,-1,-1
20.521,-1,-1
20.562,-1,-1
20.604,-1,-1
20.646,-1,-1
20.687,-1,-1
20.729,-1,-1
20.771,-1,-1
20.812,-1,-1
20.854,-1,-1
20.896,-1,-1
20.938,-1,-1
20.979,-1,-1
21.021,-1,-1
21.063,-1,-1
21.104,-1,-1
21.146,-1,-1
21.188,-1,-1
21.230,-1,-1
21.271,-1,-1
21.313,-1,-1
21.355,-1,-1
21.396,-1,-1
21.438,-1,-1
21.480,-1,-1
21.522,-1,-1
21.563,-1,-1
21.605,-1,-1
21.647,-1,-1
21.688,-1,-1
21.730,-1,-1
21.772,-1,-1
21.813,-1,-1
21.855,-1,-1
21.897,-1,-1
21.939,-1,-1
21.980,-1,-1
22.022,-1,-1
22.064,-1,-1
22.105,-1,-1
22.147,-1,-1
22.189,-1,-1
22.231,-1,-1
22.272,-1,-1
22.314,-1,-1
22.356,-1,-1
22.397,-1,-1
22.439,-1,-1
22.481,-1,-1
22.522,-1,-1
22.564,-1,-1
22.606,-1,-1
22.648,-1,-1
22.689,-1,-1
22.731,-1,-1
22.773,-1,-1
22.814,-1,-1
22.856,-1,-1
22.898,-1,-1
22.940,-1,-1
22.981,-1,-1
23.023,-1,-1
23.065,-1,-1
23.106,-1,-1
23.148,-1,-1
23.190,-1,-1
23.232,-1,-1
23.273,-1,-1
23.315,-1,-1
23.357,-1,-1
23.398,-1,-1
23.440,-1,-1
23.482,-1,-1
23.524,-1,-1
23.565,-1,-1
23.607,-1,-1
23.649,-1,-1
23.690,-1,-1
23.732,-1,-1
23.774,-1,-1
23.815,-1,-1
23.857,-1,-1
23.899,-1,-1
23.941,-1,-1
23.982,-1,-1
24.024,-1,-1
24.066,-1,-1
24.107,-1,-1
24.149,-1,-1
24.191,-1,-1
24.233,-1,-1
24.274,-1,-1
24.316,-1,-1
24.358,-1,-1
24.399,-1,-1
24.441,-1,-1
24.483,-1,-1
24.525,-1,-1
24.566,-1,-1
24.608,-1,-1
24.650,-1,-1
24.691,-1,-1
24.733,-1,-1
24.775,-1,-1
24.816,-1,-1
24.858,-1,-1
24.900,-1,-1
24.942,-1,-1
24.983,-1,-1
25.025,-1,-1
25.067,-1,-1
25.108,-1,-1
25.150,-1,-1
25.192,-1,-1
25.234,-1,-1
25.275,-1,-1
25.317,-1,-1
25.359,-1,-1
25.400,-1,-1
25.442,-1,-1
25.484,-1,-1
25.525,-1,-1
25.567,-1,-1
25.609,-1,-1
25.651,-1,-1
25.692,-1,-1
25.734,-1,-1
25.776,-1,-1
25.817,-1,-1
25.859,-1,-1
25.901,-1,-1
25.943,-1,-1
25.984,-1,-1
26.026,-1,-1
26.068,-1,-1
26.109,-1,-1
26.151,-1,-1
26.193,-1,-1
26.235,-1,-1
26.276,-1,-1
26.318,-1,-1
