Frame Time, x, y
16.600,49,85
16.642,77,526
16.683,49,86
16.725,49,86
16.767,48,86
16.808,50,86
16.850,50,85
16.892,77,526
16.934,50,86
16.975,50,85
17.017,76,528
17.059,50,85
17.100,50,85
17.142,50,86
17.184,50,86
17.226,50,85
17.267,75,529
17.309,50,86
17.351,50,86
17.392,49,86
17.434,50,86
17.476,50,85
17.518,50,86
17.559,49,87
17.601,50,86
17.643,50,86
17.684,49,86
17.726,49,86
17.768,50,85
17.809,49,87
17.851,50,86
17.893,49,86
17.935,48,87
17.976,49,86
18.018,48,87
18.060,48,87
18.101,49,87
18.143,50,85
18.185,50,86
18.227,50,86
18.268,50,86
18.310,51,86
18.352,68,540
18.393,50,86
18.435,50,86
18.477,51,85
18.519,50,86
18.560,50,85
18.602,50,86
18.644,50,86
18.685,49,87
18.727,50,86
18.769,51,85
18.810,49,86
18.852,50,85
18.894,50,86
18.936,49,86
18.977,49,86
19.019,50,86
19.061,49,86
19.102,49,86
19.144,49,86
19.186,49,87
19.228,51,85
19.269,49,86
19.311,50,86
19.353,49,86
19.394,49,86
19.436,50,86
19.478,50,86
19.519,50,85
19.561,50,86
19.603,50,85
19.645,50,86
19.686,50,86
19.728,49,86
19.770,50,86
19.811,50,86
19.853,49,86
19.895,49,87
19.937,50,86
19.978,50,85
20.020,49,85
20.062,51,85
20.103,49,87
20.145,49,86
20.187,49,86
20.229,49,86
20.270,49,86
20.312,49,86
20.354,49,86
20.395,51,85
20.437,49,86
20.479,50,85
20.521,49,86
20.562,51,85
20.604,50,86
20.646,51,85
20.687,52,85
20.729,48,87
20.771,50,86
20.812,49,86
20.854,50,86
20.896,49,86
20.938,52,85
20.979,49,87
21.021,48,87
21.063,49,86
21.104,49,86
21.146,49,86
21.188,49,86
21.230,49,87
21.271,49,86
21.313,49,87
21.355,50,85
21.396,49,86
21.438,50,86
21.480,49,86
21.522,49,86
21.563,49,87
21.605,48,87
21.647,50,86
21.688,48,87
21.730,50,86
21.772,49,86
21.813,50,86
21.855,50,86
21.897,49,88
21.939,50,86
21.980,50,86
22.022,49,87
22.064,50,86
22.105,52,85
22.147,50,86
22.189,51,85
22.231,49,87
22.272,50,87
22.314,50,86
22.356,50,86
22.397,50,86
22.439,49,86
22.481,50,86
22.522,49,87
22.564,49,86
22.606,49,87
22.648,49,86
22.689,49,87
22.731,50,86
22.773,50,86
22.814,49,87
22.856,54,84
22.898,50,86
22.940,51,86
22.981,50,86
23.023,50,86
23.065,50,85
23.106,49,86
23.148,50,86
23.190,49,86
23.232,50,86
23.273,51,86
23.315,50,86
23.357,50,86
23.398,49,87
23.440,53,568
23.482,52,85
23.524,50,87
23.565,49,86
23.607,49,87
23.649,50,86
23.690,49,86
23.732,50,86
23.774,53,568
23.815,49,86
23.857,52,568
23.899,51,85
23.941,49,86
23.982,50,86
24.024,50,86
24.066,50,86
24.107,51,85
24.149,49,86
24.191,50,86
24.233,50,86
24.274,49,86
24.316,50,86
24.358,50,86
24.399,52,570
24.441,50,86
24.483,52,569
24.525,52,570
24.566,52,570
24.608,52,570
24.650,52,570
24.691,52,570
24.733,52,572
24.775,52,571
24.816,52,571
24.858,52,571
24.900,52,86
24.942,51,572
24.983,52,572
25.025,51,572
25.067,51,573
25.108,51,573
25.150,51,573
25.192,51,573
25.234,51,573
25.275,51,573
25.317,51,573
25.359,51,573
25.400,51,574
25.442,51,574
25.484,51,574
25.525,51,574
25.567,51,574
25.609,51,574
25.651,51,574
25.692,51,574
25.734,51,574
25.776,51,574
25.817,51,574
25.859,51,574
25.901,51,575
25.943,51,575
25.984,51,575
26.026,51,575
26.068,51,575
26.109,51,575
26.151,51,575
26.193,51,575
26.235,51,575
26.276,51,576
26.318,51,576
26.360,51,576
26.401,50,576
26.443,51,576
26.485,50,577
26.527,51,576
26.568,51,576
26.610,50,576
26.652,50,578
26.693,51,577
26.735,50,577
26.777,50,577
26.818,50,578
26.860,50,578
26.902,50,578
26.944,50,578
26.985,50,579
27.027,50,579
27.069,50,579
27.110,50,579
27.152,50,579
27.194,50,579
27.236,50,579
27.277,50,579
27.319,50,579
27.361,50,579
27.402,50,579
27.444,50,579
27.486,50,580
27.527,50,580
27.569,50,580
27.611,50,580
27.653,50,580
27.694,50,580
27.736,50,580
27.778,50,580
27.819,50,581
27.861,50,581
27.903,50,581
27.945,50,581
27.986,50,581
28.028,50,581
28.070,50,581
28.111,50,581
28.153,50,581
28.195,50,581
28.237,50,581
28.278,50,581
28.320,50,582
28.362,50,581
28.403,50,581
28.445,50,582
28.487,50,582
28.528,50,582
28.570,50,582
28.612,50,582
28.654,50,582
28.695,50,582
28.737,50,582
28.779,50,582
28.820,50,582
28.862,50,582
28.904,50,582
28.946,50,582
28.987,50,583
29.029,50,583
29.071,50,582
29.112,50,583
29.154,50,583
29.196,50,583
29.238,50,583
29.279,50,583
29.321,50,583
29.363,50,583
29.404,50,583
29.446,50,583
29.488,50,583
29.530,50,583
29.571,50,583
29.613,50,583
29.655,50,583
29.696,50,583
29.738,50,583
29.780,50,583
29.821,50,583
29.863,50,583
29.905,50,583
29.947,50,583
29.988,50,583
30.030,50,583
30.072,50,583
30.113,50,584
30.155,50,583
30.197,50,583
30.239,50,583
30.280,50,583
30.322,50,583
30.364,50,583
30.405,50,583
30.447,50,583
30.489,50,583
30.530,50,583
30.572,50,583
30.614,50,583
30.656,50,583
30.697,50,583
30.739,50,583
30.781,50,583
30.822,50,583
30.864,50,583
30.906,50,583
30.948,50,583
30.989,50,583
31.031,50,583
31.073,50,583
31.114,50,583
31.156,50,582
31.198,50,583
31.240,50,583
31.281,50,582
31.323,49,582
31.365,50,582
31.406,49,583
31.448,49,583
31.490,49,582
31.531,49,582
31.573,49,582
31.615,49,582
31.657,49,582
31.698,49,582
31.740,49,582
31.782,49,582
31.823,49,582
31.865,49,582
31.907,49,582
31.949,49,582
31.990,49,581
32.032,49,581
32.074,49,582
32.115,49,581
32.157,49,580
32.199,49,581
32.241,49,581
32.282,49,581
32.324,49,579
32.366,49,580
32.407,49,580
32.449,49,580
32.491,49,579
32.533,49,579
32.574,49,578
32.616,49,579
32.658,49,579
32.699,49,579
32.741,49,577
32.783,49,578
32.824,49,578
32.866,49,578
32.908,49,576
32.950,49,577
32.991,49,577
33.033,49,577
33.075,49,576
33.116,49,576
33.158,49,576
33.200,49,576
33.242,49,577
33.283,49,577
33.325,49,576
33.367,49,577
33.408,49,578
33.450,49,577
33.492,49,577
33.534,49,577
33.575,50,578
33.617,50,578
33.659,50,578
33.700,50,578
33.742,50,578
33.784,50,578
33.825,50,578
33.867,50,578
33.909,50,578
33.951,50,578
33.992,50,578
34.034,50,578
34.076,50,578
34.117,50,578
34.159,50,578
34.201,50,578
34.243,50,578
34.284,50,578
34.326,50,578
34.368,50,578
34.409,50,578
34.451,50,578
34.493,50,578
34.534,50,578
34.576,50,578
34.618,50,578
34.660,50,578
34.701,50,578
34.743,50,578
34.785,50,578
34.826,50,578
34.868,50,578
34.910,50,579
34.952,50,578
34.993,50,578
35.035,50,579
35.077,50,579
35.118,50,579
35.160,50,579
35.202,50,579
35.244,50,579
35.285,50,579
35.327,50,579
35.369,50,579
35.410,50,579
35.452,50,579
35.494,50,579
35.536,50,579
35.577,50,579
35.619,50,579
35.661,50,579
35.702,50,579
35.744,50,579
35.786,50,579
35.827,50,579
35.869,50,579
35.911,50,579
35.953,50,579
35.994,50,579
36.036,50,579
36.078,50,579
36.119,50,579
36.161,50,579
36.203,50,579
36.245,50,578
36.286,50,579
36.328,50,579
36.370,50,579
36.411,49,578
36.453,49,578
36.495,49,578
36.537,49,578
36.578,49,579
36.620,49,578
36.662,49,578
36.703,49,578
36.745,49,578
36.787,49,578
36.828,49,578
36.870,49,578
36.912,49,579
36.954,49,578
36.995,49,578
37.037,49,579
37.079,49,578
37.120,49,579
37.162,49,579
37.204,49,578
37.246,49,578
37.287,49,578
37.329,49,578
37.371,49,578
37.412,49,578
37.454,49,578
37.496,49,578
37.537,49,578
37.579,49,577
37.621,49,577
37.663,49,578
37.704,49,577
37.746,49,577
37.788,49,577
37.829,49,577
37.871,49,577
